ride_id,number_of_ticket
14861,19.665
14857,1.18
14860,9.06
14858,4.675
14865,10.915
14864,7.845
14863,10.885
3373,1.025
3354,5.595
3346,8.6
3345,7.53
3274,8.885
14761,1.405
3257,9.41
3167,8.475
3156,4.775
3149,8.22
3047,5.13
3037,2.12
3016,9.405
2957,8.83
2955,10.92
2937,9.665
14776,1.125
14754,1.545
2934,8.93
14715,1.0
14856,1.38
14855,2.735
14854,4.225
14853,7.045
14852,3.935
14851,7.21
14847,10.97
14844,7.62
14843,12.405
14719,1.0
14753,1.545
14720,38.52
14723,2.595
14724,28.615
14728,14.645
14729,3.09
14733,29.63
14734,8.885
14736,7.33
14743,1.09
2936,8.44
3304,8.675
2932,10.575
2363,6.11
14831,2.77
14828,2.34
14826,1.155
2524,10.425
14824,3.845
14793,5.575
14791,1.12
14783,1.305
2908,10.84
14782,3.755
2365,3.19
2394,2.57
2366,8.69
2391,4.21
2500,10.465
2491,8.875
2487,8.92
2454,8.475
2437,8.655
2430,5.5
2417,15.915
2406,4.25
14832,9.855
14840,18.62
14862,10.035
2636,9.045
2907,10.82
2843,10.605
2837,10.915
2755,10.91
2731,10.645
2714,10.875
2700,8.34
2678,8.035
2658,8.845
2652,8.915
2651,10.74
2620,6.6
2615,7.525
2599,9.115
2598,10.69
2565,10.265
2543,10.345
2404,6.135
14668,1.08
14656,4.03
14669,2.02
14660,22.77
14664,1.01
14665,1.02
14675,8.78
14670,6.965
14671,3.33
14653,13.495
14692,1.88
14691,11.09
14690,31.445
14689,8.58
14688,9.425
14687,6.445
14686,13.5
14685,3.175
14683,1.42
14682,7.93
14680,9.69
14679,4.77
14678,17.14
14677,8.875
14676,23.425
14674,3.07
14673,25.115
14672,5.625
14655,4.05
3507,8.615
14652,29.95
3452,6.555
3498,9.81
3484,8.53
3480,7.345
3478,7.51
3472,1.48
3469,6.235
3442,9.495
14651,42.665
3436,5.235
3434,4.51
3433,3.72
3428,12.68
3420,1.895
3417,2.6
3511,8.445
3513,6.68
3524,7.745
3530,9.08
14650,3.265
14649,6.78
14648,31.445
14647,2.34
14642,3.69
14708,1.725
3556,1.115
3555,2.505
3548,9.435
3546,8.105
3535,9.825
3534,9.1
3532,9.71
3531,10.47
14584,26.595
14586,8.155
14601,1.005
14585,8.11
14596,3.86
3585,9.84
3583,8.11
3582,9.34
3578,2.41
3575,2.68
14598,1.01
14597,2.035
14594,17.98
14599,3.09
14593,6.905
14592,6.155
14591,12.765
14590,7.4
14589,17.195
14588,31.45
14587,33.0
3586,1.035
3584,8.55
14600,20.22
14608,4.01
14617,1.87
14616,11.44
14615,2.225
14614,1.27
14613,5.915
14610,9.025
14609,6.235
14612,2.825
14607,9.555
14606,8.86
14605,3.935
14604,14.6
14603,3.155
14602,20.565
14423,37.375
4795,8.87
4809,6.825
4846,7.155
4873,1.0
14425,10.53
4743,9.295
14424,29.075
14427,13.525
14422,5.01
3805,7.805
3818,9.745
3846,9.615
3921,9.74
3965,9.49
3970,8.545
3991,9.495
4010,9.645
4011,8.67
4039,1.735
4040,9.145
4114,8.685
4115,8.6
4127,9.29
4134,8.555
4135,8.285
4141,7.255
4143,7.915
4162,6.685
4172,2.6
4177,7.55
4193,7.415
3814,7.145
3767,11.44
4220,10.205
3750,21.44
14428,9.315
14432,28.675
14433,1.53
14437,26.495
14443,9.015
14444,15.28
14445,2.465
14447,1.55
14448,1.445
14449,11.775
14451,1.665
3604,1.005
3613,7.105
3614,5.42
3615,2.195
3652,6.9
3697,5.99
3707,6.78
3717,6.075
3731,7.87
3741,8.48
4210,8.005
4242,10.51
14421,3.09
14514,10.19
14522,1.5
14527,18.4
14529,4.555
14530,7.58
14534,2.02
14543,1.615
14544,1.1
14546,5.595
14552,15.9
14556,1.14
14557,1.605
14558,1.635
14559,2.085
14560,1.14
14561,2.195
14562,1.56
14563,9.105
14565,1.275
14566,1.885
14567,1.43
14420,2.07
14515,20.555
14473,1.01
4248,5.165
14472,1.01
4338,12.305
4372,10.48
4373,2.25
4380,2.42
4429,9.67
4446,9.35
4523,9.21
4548,9.52
4565,9.96
4581,9.335
4617,9.68
4669,4.96
4670,9.695
4717,9.035
4722,9.59
4732,8.935
14426,11.85
14456,3.295
14457,1.62
14461,2.1
14466,1.56
4697,8.13
5283,9.23
5285,9.465
14316,7.34
14319,1.605
14320,1.28
14322,1.765
14327,1.09
14328,2.63
14332,11.42
14336,2.855
14337,1.02
14339,7.805
14344,5.625
14362,1.03
14373,19.48
14374,1.435
14381,1.48
14382,10.0
14383,6.24
14394,1.78
14318,2.79
14314,14.29
14405,7.02
14313,2.2
14404,8.18
14403,5.285
14402,1.97
14401,3.325
14400,1.995
14399,16.065
14295,6.49
14297,17.88
14298,33.29
14301,6.06
14302,35.61
14305,10.515
14306,2.465
14307,9.15
14310,23.745
14311,22.395
14312,2.24
14334,1.08
5129,4.365
4940,1.36
4972,3.295
5251,8.1
5252,8.785
5253,8.67
5261,8.99
5268,8.895
5273,9.47
5274,2.055
5275,8.28
5276,8.36
5280,8.94
5316,1.415
5312,5.05
5311,6.73
5307,7.19
5305,7.885
5303,5.775
5302,6.77
5298,8.5
5295,8.95
5289,8.905
5286,9.605
5250,8.315
5249,8.72
5248,8.24
5141,8.08
4973,7.845
4981,5.87
5007,8.98
5038,9.15
5040,9.46
5089,9.6
5118,8.945
5123,8.565
14398,23.345
5151,9.78
5245,7.195
5157,6.725
5168,8.265
5174,8.09
5180,9.69
5188,9.155
5238,8.865
5239,9.68
5240,10.175
5241,11.47
14397,3.12
14253,6.93
14275,3.215
5380,1.525
5429,8.845
5424,9.465
5423,9.83
5411,10.18
5409,9.905
5408,10.34
5399,8.39
5393,9.025
5392,7.5
5384,10.61
5383,9.12
5379,7.12
5432,9.575
5377,5.95
5376,9.16
5373,7.78
5369,9.89
5362,5.57
5361,10.255
5350,5.845
5345,10.615
5339,9.405
5337,4.44
5335,6.16
5430,9.65
5438,9.29
5323,1.71
5484,7.2
14274,1.72
5503,1.04
5502,5.27
5501,11.335
5500,2.95
5498,6.19
5497,2.905
5495,5.24
5493,6.62
5492,5.91
5490,6.675
5483,17.33
5441,9.585
5482,8.39
5479,5.985
5476,8.035
5475,9.535
5474,9.72
5470,3.79
5469,10.04
5459,9.335
5458,9.75
5457,5.51
5455,10.035
5330,11.0
5404,10.43
14262,17.77
14154,7.085
14169,1.16
14167,5.445
14166,1.78
14165,8.95
14164,10.425
14161,1.0
14153,18.98
14174,5.375
14152,12.085
14151,31.835
14150,12.985
14149,2.43
14148,29.53
14147,23.335
14170,2.22
14179,1.95
14272,1.34
14246,17.615
14270,2.74
14269,1.875
14268,1.925
14252,7.22
14248,3.255
14247,14.47
14242,4.535
14188,2.015
14221,1.01
14219,1.725
14218,4.585
14216,1.46
14190,7.645
14189,2.33
14146,33.59
14271,3.045
14273,9.035
5523,10.24
5568,9.945
5571,10.085
5573,8.715
5583,9.77
5585,8.785
5586,9.315
5589,6.415
5591,5.375
5593,7.705
5596,6.365
5597,6.17
5516,1.53
5598,6.89
5599,11.025
5600,1.345
5569,8.98
5567,9.69
5524,8.855
5565,10.12
5535,9.105
5538,10.28
5517,1.675
5541,3.99
5544,8.55
5545,8.465
5546,9.225
5548,9.63
5552,9.99
5553,9.69
5554,9.025
5557,8.72
5559,9.365
5560,9.7
5564,1.38
5522,6.045
14071,4.775
14070,9.555
14038,2.66
14040,1.61
14041,41.5
14043,29.54
14046,1.775
14048,9.0
14049,4.95
14050,8.175
14051,1.995
14052,5.16
14055,2.465
14057,5.945
14061,23.565
14063,10.335
14064,9.555
14069,1.885
14039,17.69
14056,28.6
14072,8.09
14108,1.215
14073,1.08
14128,8.96
14127,2.85
14120,3.125
14114,19.425
14113,8.995
14110,18.88
14115,7.66
14105,1.035
14089,16.985
14085,2.83
14083,2.265
14080,4.38
14097,1.95
14075,8.67
5659,4.38
5650,10.69
5653,8.34
5655,10.74
5658,10.645
5663,10.91
5660,10.875
5661,10.605
5664,10.575
5645,8.845
5665,10.82
5648,8.035
5633,10.265
5644,8.915
5643,9.045
5642,6.6
5640,7.525
5638,9.115
5637,8.69
5636,10.345
5634,10.425
5632,8.875
5631,6.11
5611,2.345
5667,8.83
5666,10.84
13965,9.06
5668,10.915
13994,10.035
13989,1.135
13988,6.495
13985,9.855
13979,1.0
13975,7.045
13973,1.38
13970,12.405
13969,1.09
13968,8.885
13967,1.475
13966,10.915
13964,10.97
13963,2.735
13962,3.935
13961,1.18
13960,29.63
13959,28.615
13958,3.09
13957,1.0
13956,38.52
13955,14.645
13954,5.575
5669,8.93
13991,2.77
13978,1.365
13995,4.675
5684,4.775
5670,10.92
5671,9.405
5674,8.44
5675,9.665
5676,2.12
13997,18.62
5678,7.53
5679,8.885
5680,2.36
5681,8.22
5682,1.72
5677,9.41
5685,1.025
14023,6.91
14022,10.885
14021,2.54
14020,19.665
14015,4.225
14011,7.21
14007,2.14
14024,7.845
14005,1.79
13930,6.445
13925,3.74
13926,8.78
13927,25.115
13928,8.875
13929,4.77
13934,1.355
13931,9.69
13932,9.425
13933,2.565
13935,1.405
13936,1.88
13923,6.965
13924,5.625
13898,1.275
13922,11.09
5709,9.71
5739,9.1
5733,8.105
5731,8.835
5727,7.23
5723,9.78
5718,9.81
5717,10.47
5716,9.435
5712,9.315
5711,9.825
5708,7.745
5744,9.905
5707,8.445
5703,9.08
5699,9.495
5698,3.64
5697,9.495
5696,3.72
5695,2.8
5694,8.81
5693,6.575
5692,7.51
5743,7.34
5745,2.505
13921,3.265
13890,29.95
13915,7.465
13908,3.07
13902,7.93
13901,2.11
13899,4.05
13897,3.33
13896,2.34
13894,4.03
13893,13.5
13892,13.495
13889,23.425
5747,1.115
13888,31.445
13887,42.665
13886,8.58
13885,5.665
13884,6.78
13883,1.655
13882,2.36
5750,1.03
5749,5.495
5748,6.23
5742,7.795
13848,12.765
13864,1.39
5782,1.035
13840,7.12
13839,8.155
13838,33.0
13837,3.155
13831,31.45
13830,6.905
13829,7.525
5780,1.74
13842,26.595
5779,9.695
5768,11.535
5767,4.755
5766,1.335
5765,3.565
5761,1.16
5760,1.89
13841,3.32
13843,14.6
13863,11.44
13855,6.155
13862,9.025
13861,9.555
13860,6.235
13859,8.86
13858,1.64
13857,3.935
13856,20.22
13854,1.585
13845,3.09
13853,2.355
13852,20.565
13851,1.27
13850,5.915
13849,7.4
13847,2.225
13846,8.11
13844,1.605
